Tag,Meaning
`comment`,Any comment
`comment.line`,A `//` line comment
`comment.line.doc`,A `///` XML doc comment line (not a `////`-or-more separator line)
`comment.block`,A `/* ... */` block comment
`comment.block.doc`,"A `/** ... */` doc-style block comment (not a conventional C# form, but handled)"
`string`,Any string-like literal
`string.singleQuote`,A `'...'` character literal
`string.doubleQuote`,"A `""...""` string literal"
`string.verbatim`,"A `@""...""` verbatim string literal"
`string.interpolated`,"A `$""...""` interpolated string literal fragment"
`string.raw`,"A C# 11 `""""""...""""""` raw string literal"
`code`,Everything else (off by default)
