Tag,Meaning,Languages
`code`,Everything else (off by default),all
`comment`,Any comment,all
`comment.block`,A `/* ... */` block comment,"`c`, `cpp`, `csharp`, `go`, `java`<br>`javascript`, `javascriptreact`<br>`php`, `typescript`<br>`typescriptreact`"
`comment.block`,An `=begin` ... `=end` block comment,`ruby`
`comment.block`,A `/* ... */` block comment (including a nested one),`rust`
`comment.block.doc`,A `/** ... */` doc comment (Doxygen-style),"`c`, `cpp`"
`comment.block.doc`,"A `/** ... */` doc-style block comment (not a conventional C# form, but handled)",`csharp`
`comment.block.doc`,"A `/** ... */` doc comment (rare in idiomatic Go, which favors plain `//` comments for godoc)",`go`
`comment.block.doc`,A `/** ... */` Javadoc comment,`java`
`comment.block.doc`,A `/** ... */` doc comment (JSDoc-style),"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`comment.block.doc`,A `/** ... */` PHPDoc-style comment,`php`
`comment.block.doc`,A `/** ... */` outer doc block or `/*! ... */` inner doc block,`rust`
`comment.line`,A `//` line comment,"`c`, `cpp`, `csharp`, `go`, `java`<br>`javascript`, `javascriptreact`<br>`rust`, `typescript`<br>`typescriptreact`"
`comment.line`,"A `//` or `#` line comment (`#[` starts a PHP 8 attribute, not a comment)",`php`
`comment.line`,A `#` line comment,"`python`, `ruby`"
`comment.line.doc`,A Doxygen-style `///` or `//!` doc-comment line,"`c`, `cpp`"
`comment.line.doc`,A `///` XML doc comment line (not a `////`-or-more separator line),`csharp`
`comment.line.doc`,A `///` outer doc comment or `//!` inner doc comment line,`rust`
`html`,HTML (or other non-PHP) content outside `<?php`/`<?=`/`<?` ... `?>` (off by default),`php`
`module`,Any module specifier string,"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`module.specifier`,"Any module specifier string (same as `module`, for a more specific filter)","`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`module.specifier.literal`,"The module specifier string of an `import`/`export ... from` statement, a dynamic `import('...')`, or a `require(...)` call","`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`string`,Any string-like literal,"`c`, `cpp`, `csharp`, `go`, `java`<br>`javascript`, `javascriptreact`<br>`php`, `python`, `ruby`<br>`typescript`, `typescriptreact`"
`string`,"Any string-like literal, including a plain `""...""` string",`rust`
`string.backtick`,A `` `...` `` backtick command string (including interpolated fragments),`ruby`
`string.byte`,"A `b""...""` byte string literal (also carried by `string.byte.raw`)",`rust`
`string.byte.raw`,"A byte raw string literal (`br""...""`, `br#""...""#`, ...)",`rust`
`string.c`,"A `c""...""` C string literal (also carried by `string.c.raw`)",`rust`
`string.c.raw`,"A C raw string literal (`cr""...""`, `cr#""...""#`, ...)",`rust`
`string.doubleQuote`,"A `""...""` string literal","`c`, `cpp`, `csharp`, `java`<br>`javascript`, `javascriptreact`<br>`python`, `typescript`<br>`typescriptreact`"
`string.doubleQuote`,"A `""...""` interpreted string literal",`go`
`string.doubleQuote`,"A `""...""` string literal (interpolation-aware)",`php`
`string.doubleQuote`,"A `""...""` string literal (including interpolated fragments)",`ruby`
`string.doubleQuote.module`,"A `""...""` string literal that is also a module specifier","`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`string.heredoc`,A `<<<ID ... ID` heredoc body (interpolation-aware),`php`
`string.heredoc`,A `<<~ID`/`<<-ID`/`<<ID` heredoc body (any of its fragments),`ruby`
`string.interpolated`,"A `$""...""` interpolated string literal fragment",`csharp`
`string.interpolated`,Any `f`-prefixed string (an f-string) - composes with the tags above,`python`
`string.nowdoc`,A `<<<'ID' ... ID` nowdoc body (no interpolation),`php`
`string.raw`,"A C++11 raw string literal (`R""delim(...)delim""`)","`c`, `cpp`"
`string.raw`,"A C# 11 `""""""...""""""` raw string literal",`csharp`
`string.raw`,A `` `...` `` raw string literal,`go`
`string.raw`,"Any `r`-prefixed string (`r`, `rb`/`br`, `rf`/`fr`) - composes with the tags above",`python`
`string.raw`,"A raw string literal (`r""...""`, `r#""...""#`, ...) - not a byte or C raw string",`rust`
`string.singleQuote`,A `'...'` char literal,"`c`, `cpp`"
`string.singleQuote`,A `'...'` character literal,"`csharp`, `java`"
`string.singleQuote`,A `'...'` rune literal,`go`
`string.singleQuote`,A `'...'` string literal,"`javascript`, `javascriptreact`<br>`python`, `ruby`, `typescript`<br>`typescriptreact`"
`string.singleQuote`,A `'...'` string literal (no interpolation),`php`
`string.singleQuote.module`,A `'...'` string literal that is also a module specifier,"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`string.templateLiteral`,"A literal text fragment of a template string (`` `...` ``), excluding `${...}` holes","`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`"
`string.textBlock`,"A `""""""...""""""` text block (Java 15+)",`java`
`string.tripleQuote`,"A `'''...'''` or `""""""...""""""` string literal",`python`
`string.verbatim`,"A `@""...""` verbatim string literal",`csharp`
