Tag,Meaning
`comment`,Any comment
`comment.line`,A `//` line comment
`comment.block`,A `/* ... */` block comment
`comment.block.doc`,A `/** ... */` doc comment (JSDoc-style)
`string`,Any string-like literal
`string.singleQuote`,A `'...'` string literal
`string.doubleQuote`,"A `""...""` string literal"
`string.singleQuote.module`,A `'...'` string literal that is also a module specifier
`string.doubleQuote.module`,"A `""...""` string literal that is also a module specifier"
`string.templateLiteral`,"A literal text fragment of a template string (`` `...` ``), excluding `${...}` expressions"
`module`,Any module specifier string
`module.specifier`,"Any module specifier string (same as `module`, for a more specific filter)"
`module.specifier.literal`,"The module specifier string of an `import`/`export ... from` statement, a dynamic `import('...')`, or a `require(...)` call"
`code`,Everything else (off by default)
