Package,Languages,Tags
[`@cspell/parser-c-cpp-strings-comments`](../packages/parser-c-cpp-strings-comments),"`c`, `cpp`","`comment`, `string`"
[`@cspell/parser-csharp-strings-comments`](../packages/parser-csharp-strings-comments),`csharp`,"`comment`, `string`"
[`@cspell/parser-go-strings-comments`](../packages/parser-go-strings-comments),`go`,"`comment`, `string`"
[`@cspell/parser-java-strings-comments`](../packages/parser-java-strings-comments),`java`,"`comment`, `string`"
[`@cspell/parser-javascript`](../packages/parser-javascript),"`javascript`, `javascriptreact`","`comment`, `identifier`, `module`, `string`"
[`@cspell/parser-php-strings-comments`](../packages/parser-php-strings-comments),`php`,"`comment`, `html`, `string`"
[`@cspell/parser-python-strings-comments`](../packages/parser-python-strings-comments),`python`,"`comment`, `string`"
[`@cspell/parser-ruby-strings-comments`](../packages/parser-ruby-strings-comments),`ruby`,"`comment`, `string`"
[`@cspell/parser-rust-strings-comments`](../packages/parser-rust-strings-comments),`rust`,"`comment`, `string`"
[`@cspell/parser-strings-comments`](../packages/parser-strings-comments),"`c`, `cpp`, `csharp`, `go`, `java`<br>`javascript`, `javascriptreact`, `php`<br>`python`, `ruby`, `rust`, `typescript`<br>`typescriptreact`","`comment`, `html`, `module`, `string`"
[`@cspell/parser-typescript`](../packages/parser-typescript),"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`","`comment`, `identifier`, `module`, `string`"
[`@cspell/parser-typescript-strings-comments`](../packages/parser-typescript-strings-comments),"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`","`comment`, `module`, `string`"
[`@cspell/parser-typescript-tree-sitter`](../packages/parser-typescript-tree-sitter),"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`","`comment`, `identifier`, `module`, `string`"
[`@cspell/parser-typescript-tree-sitter-wasm`](../packages/parser-typescript-tree-sitter-wasm),"`javascript`, `javascriptreact`<br>`typescript`, `typescriptreact`","`comment`, `identifier`, `module`, `string`"
